caption	answer	add_caption	c1_variable	c1_comp	c1_condition	c2_variable	c2_comp	c2_condition	c3_variable	c3_comp	c3_condition
Щось порадите?	Станьте на коліна перед освяченим ковадлом, благочестиві діти полум'я кузні. Пожинайте плоди чесної праці і проголошуйте Зенітару свою любов.|Зенітар каже: Працюйте наполегливо, і ви будете винагороджені. Витрачайте з розумом, і матимете достаток. Ніколи не крадіть, інакше будете покарані.|Шлях до миру і процвітання лежить через сумлінну працю і чесний прибуток, а не через війну і кровопролиття.|Природний світ оберігає майстрів. Не можна шанувати Зенітара, не визнаючи силу Кінарет.	Зенітар|Зенітар|-|Зенітар	Building Name	==	Резолюція Зенітара	NoLore	==	2			
послуги	Зенітар благословляє старанних і працьовитих, які дотримуються Його заповідей. Крім того, Його рішучі послідовники отримують доступ до храмової зіллєварні, продавця зілля та бібліотеки. Магістри та Предстоятелі можуть навіть спробувати викликати Даедрійських Принців.	Зенітар,Принци Даедра	Building Name	==	Резолюція Зенітара	NoLore	==	2			
Лицарі Заліза	Ми, Лицарі Заліза, відповідальні за військові походи Резолюції Зенітара. Зенітар - не просто Бог Купців і Торгівлі, він також є Богом Воїнів. Ми уособлюємо цю Його сторону.		Faction Name	==	Лицарі Заліза	NoLore	==	2			
Хто ви?	Я - @Name@, Цілитель Резолюції Зенітара.	Зенітар,Резолюція Зенітара	Building Name	==	Резолюція Зенітара	Faction Name	==	Храмові Цілителі	NoLore	==	2
Хто ви?	Я - @Name@, Місіонер Резолюції Зенітара.	Зенітар,Резолюція Зенітара	Building Name	==	Резолюція Зенітара	Faction Name	==	Місіонери Храму	NoLore	==	2
Хто ви?	Я - @Name@, Настоятель Резолюції Зенітара.	Зенітар,Резолюція Зенітара	Building Name	==	Резолюція Зенітара	Faction Name	==	Храмові Благодійники	NoLore	==	2
Хто ви?	Я - @Name@, Скарбник Резолюції Зенітара.	Зенітар,Резолюція Зенітара	Building Name	==	Резолюція Зенітара	Faction Name	==	Храмові Скарбники	NoLore	==	2
Хто ви?	Я - @Name@, Аптекар Резолюції Зенітара.	Зенітар,Резолюція Зенітара	Building Name	==	Резолюція Зенітара	Faction Name	==	Апотекарії Зенітара	NoLore	==	2
Хто ви?	Я - @Name@, Змішувач Резолюції Зенітара.	Зенітар,Резолюція Зенітара	Building Name	==	Резолюція Зенітара	Faction Name	==	Змішувачі Зенітара	NoLore	==	2
Хто ви?	Я - @Name@, Викликач Резолюції Зенітара. Моя віра в Зенітара дозволяє мені укладати угоди з Принцами Даедра, але будьте обережні: викликати їх завжди небезпечно.	Зенітар,Резолюція Зенітара, Принци Даедра	Building Name	==	Резолюція Зенітара	Faction Name	==	Викликателі Зенітара	NoLore	==	2
Хто ви?	Я - @Name@, Вчитель Резолюції Зенітара.	Зенітар,Резолюція Зенітара	Building Name	==	Резолюція Зенітара	Faction Name	==	Вчителі Зенітара	NoLore	==	2
Хто ви?	Я - @Name@, Воїн-Монах Лицарів Заліза.	Лицарі Заліза	Faction Name	==	Лицарі Заліза	NoLore	==	2			
Хто ви?	Я - @Name@, мирянин з Резолюції Зенітара.	Зенітар,Резолюція Зенітара	Building Name	==	Резолюція Зенітара	NoLore	==	2			
Резолюція Зенітара	Будь-який храм, присвячений Зенітару, Богу Праці та Торгівлі, називається Резолюцією Зенітара або Резолюцією Зена.|Резолюція - це химерна назва, яку священики Зенітара дають своїм храмам.|Зенітар - Бог Праці та Торгівлі. Його храми настільки міцні, що їх називають Резолюціями.		Region Index	==	57|18|44|37|51						
Лицарі Дракона	@Building Name@ присягнулися захищати землю і правлячу сім'ю регіону %crn. І, клянусь Богами, ми дотримаємось цієї священної клятви.|Наш славний Орден має довгу і багату історію, що бере свій початок з кінця Меретичної Ери.|До наших лав можуть вступити лише найдосвідченіші та найблагородніші воїни. Ми приймемо лише тих, хто найкраще ілюструє наші цінності, і тих, хто бажає, перш за все, служити своєму народові без запитань і вагань.|Ми продовжуємо традицію лицарів-зброєносців і дбаємо про те, щоб у часи лиха у регіоні %crn були вправні та готові захисники.|Ми всі - дворяни. Але не всі ми народилися такими. Навіть простолюдин може стати лицарем, якщо проявить достатньо доблесті та шляхетності.		Building Name	==	Лицарі Дракона	NoLore	==	2			
Лицарі Вогню	@Building Name@ присягнулися захищати землю і правлячу сім'ю регіону %crn. І, клянусь Богами, ми дотримаємось цієї священної клятви.|Наш славний Орден має довгу і багату історію, що бере свій початок з кінця Меретичної Ери.|До наших лав можуть вступити лише найдосвідченіші та найблагородніші воїни. Ми приймемо лише тих, хто найкраще ілюструє наші цінності, і тих, хто бажає, перш за все, служити своєму народові без запитань і вагань.|Ми продовжуємо традицію лицарів-зброєносців і дбаємо про те, щоб у часи лиха у регіоні %crn були вправні та готові захисники.|Ми всі - дворяни. Але не всі ми народилися такими. Навіть простолюдин може стати лицарем, якщо проявить достатньо доблесті та шляхетності.		Building Name	==	Лицарі Вогню	NoLore	==	2			
Лицарі Сови	@Building Name@ присягнулися захищати землю і правлячу сім'ю регіону %crn. І, клянусь Богами, ми дотримаємось цієї священної клятви.|Наш славний Орден має довгу і багату історію, що бере свій початок з кінця Меретичної Ери.|До наших лав можуть вступити лише найдосвідченіші та найблагородніші воїни. Ми приймемо лише тих, хто найкраще ілюструє наші цінності, і тих, хто бажає, перш за все, служити своєму народові без запитань і вагань.|Ми продовжуємо традицію лицарів-зброєносців і дбаємо про те, щоб у часи лиха у регіоні %crn були вправні та готові захисники.|Ми всі - дворяни. Але не всі ми народилися такими. Навіть простолюдин може стати лицарем, якщо проявить достатньо доблесті та шляхетності.		Building Name	==	Лицарі Сови	NoLore	==	2			
Лицарі Троянди	@Building Name@ присягнулися захищати землю і правлячу сім'ю регіону %crn. І, клянусь Богами, ми дотримаємось цієї священної клятви.|Наш славний Орден має довгу і багату історію, що бере свій початок з кінця Меретичної Ери.|До наших лав можуть вступити лише найдосвідченіші та найблагородніші воїни. Ми приймемо лише тих, хто найкраще ілюструє наші цінності, і тих, хто бажає, перш за все, служити своєму народові без запитань і вагань.|Ми продовжуємо традицію лицарів-зброєносців і дбаємо про те, щоб у часи лиха у регіоні %crn були вправні та готові захисники.|Ми всі - дворяни. Але не всі ми народилися такими. Навіть простолюдин може стати лицарем, якщо проявить достатньо доблесті та шляхетності.		Building Name	==	Лицарі Троянди	NoLore	==	2			
Орден Ворона	@Building Name@ присягнулися захищати землю і правлячу сім'ю регіону %crn. І, клянусь Богами, ми дотримаємось цієї священної клятви.|Наш славний Орден має довгу і багату історію, що бере свій початок з кінця Меретичної Ери.|До наших лав можуть вступити лише найдосвідченіші та найблагородніші воїни. Ми приймемо лише тих, хто найкраще ілюструє наші цінності, і тих, хто бажає, перш за все, служити своєму народові без запитань і вагань.|Ми продовжуємо традицію лицарів-зброєносців і дбаємо про те, щоб у часи лиха у регіоні %crn були вправні та готові захисники.|Ми всі - дворяни. Але не всі ми народилися такими. Навіть простолюдин може стати лицарем, якщо проявить достатньо доблесті та шляхетності.		Building Name	==	Орден Ворона	NoLore	==	2			
Господарі Рогу	@Building Name@ присягнулися захищати землю і королівську родину регіону %crn. Це наш священний обов'язок, і ми виконаємо цю присягу задля слави наших предків.|Ми йдемо Шляхом Меча і дотримуємося давніх традицій Йокуди. Наші предки були передовим загоном Редгардів.|Ми - мандрівні лицарі, бо щоб опанувати Шлях, треба здійснити Подорож: мандрівку пустелею, що нагадує часи Фандара Хундінга, де ми блукаємо дикою місцевістю, перемагаючи чудовиськ і допомагаючи жителям в ім'я чеснот.|Наші мечі є продовженням наших душ і символами нашої честі. Мій меч і я - це захист регіону %crn. Наші мечі є продовженням наших душ і символами нашої честі. Мій меч і я - це захист регіону %crn. Ми є панами над нашими ворогами.|До наших лав можуть вступити лише найдосвідченіші та найблагородніші воїни. Ми приймемо лише тих, хто найкраще втілює наші цінності, і тих, хто бажає, перш за все, служити своєму народові без запитань і вагань.	-|Йокуда,Редгарди|Walkabout,Фандар Хундінг|-|-	Building Name	==	Господарі Рогу	NoLore	==	2			
Лицарі Яструба	@Building Name@ присягнулися захищати землю і королівську родину регіону %crn. Це наш священний обов'язок, і ми виконаємо цю присягу задля слави наших предків.|Ми йдемо Шляхом Меча і дотримуємося давніх традицій Йокуди. Наші предки були передовим загоном Редгардів.|Ми - мандрівні лицарі, бо щоб опанувати Шлях, треба здійснити Подорож: мандрівку пустелею, що нагадує часи Фандара Хундінга, де ми блукаємо дикою місцевістю, перемагаючи чудовиськ і допомагаючи жителям в ім'я чеснот.|Наші мечі є продовженням наших душ і символами нашої честі. Мій меч і я - це захист регіону %crn. Наші мечі є продовженням наших душ і символами нашої честі. Мій меч і я - це захист регіону %crn. Ми є панами над нашими ворогами.|До наших лав можуть вступити лише найдосвідченіші та найблагородніші воїни. Ми приймемо лише тих, хто найкраще втілює наші цінності, і тих, хто бажає, перш за все, служити своєму народові без запитань і вагань.	-|Йокуда,Редгарди|Walkabout,Фандар Хундінг|-|-	Building Name	==	Лицарі Яструба	NoLore	==	2			
Лицарі Колеса	@Building Name@ присягнулися захищати землю і королівську родину регіону %crn. Це наш священний обов'язок, і ми виконаємо цю присягу задля слави наших предків.|Ми йдемо Шляхом Меча і дотримуємося давніх традицій Йокуди. Наші предки були передовим загоном Редгардів.|Ми - мандрівні лицарі, бо щоб опанувати Шлях, треба здійснити Подорож: мандрівку пустелею, що нагадує часи Фандара Хундінга, де ми блукаємо дикою місцевістю, перемагаючи чудовиськ і допомагаючи жителям в ім'я чеснот.|Наші мечі є продовженням наших душ і символами нашої честі. Мій меч і я - це захист регіону %crn. Наші мечі є продовженням наших душ і символами нашої честі. Мій меч і я - це захист регіону %crn. Ми є панами над нашими ворогами.|До наших лав можуть вступити лише найдосвідченіші та найблагородніші воїни. Ми приймемо лише тих, хто найкраще втілює наші цінності, і тих, хто бажає, перш за все, служити своєму народові без запитань і вагань.	-|Йокуда,Редгарди|Walkabout,Фандар Хундінг|-|-	Building Name	==	Лицарі Колеса	NoLore	==	2			
Орден Свічки	@Building Name@ присягнулися захищати землю і королівську родину регіону %crn. Це наш священний обов'язок, і ми виконаємо цю присягу задля слави наших предків.|Ми йдемо Шляхом Меча і дотримуємося давніх традицій Йокуди. Наші предки були передовим загоном Редгардів.|Ми - мандрівні лицарі, бо щоб опанувати Шлях, треба здійснити Подорож: мандрівку пустелею, що нагадує часи Фандара Хундінга, де ми блукаємо дикою місцевістю, перемагаючи чудовиськ і допомагаючи жителям в ім'я чеснот.|Наші мечі є продовженням наших душ і символами нашої честі. Мій меч і я - це захист регіону %crn. Наші мечі є продовженням наших душ і символами нашої честі. Мій меч і я - це захист регіону %crn. Ми є панами над нашими ворогами.|До наших лав можуть вступити лише найдосвідченіші та найблагородніші воїни. Ми приймемо лише тих, хто найкраще втілює наші цінності, і тих, хто бажає, перш за все, служити своєму народові без запитань і вагань.	-|Йокуда,Редгарди|Walkabout,Фандар Хундінг|-|-	Building Name	==	Орден Свічки	NoLore	==	2	
Орден Скарабея	@Building Name@ присягнулися захищати землю і королівську родину регіону %crn. Це наш священний обов'язок, і ми виконаємо цю присягу задля слави наших предків.|Ми йдемо Шляхом Меча і дотримуємося давніх традицій Йокуди. Наші предки були передовим загоном Редгардів.|Ми - мандрівні лицарі, бо щоб опанувати Шлях, треба здійснити Подорож: мандрівку пустелею, що нагадує часи Фандара Хундінга, де ми блукаємо дикою місцевістю, перемагаючи чудовиськ і допомагаючи жителям в ім'я чеснот.|Наші мечі є продовженням наших душ і символами нашої честі. Мій меч і я - це захист регіону %crn. Наші мечі є продовженням наших душ і символами нашої честі. Мій меч і я - це захист регіону %crn. Ми є панами над нашими ворогами.|До наших лав можуть вступити лише найдосвідченіші та найблагородніші воїни. Ми приймемо лише тих, хто найкраще втілює наші цінності, і тих, хто бажає, перш за все, служити своєму народові без запитань і вагань.	-|Йокуда,Редгарди|Walkabout,Фандар Хундінг|-|-	Building Name	==	Орден Скарабея	NoLore	==	2			
Щось порадите?	Лише завдяки доведеній хоробрості та відданості будь-який новобранець може просуватися по службі.|Шляхетність, багатство чи харизма не дадуть вам тут престижу, і жодних винятків не робиться. Кожен рекрут повинен продемонструвати доблесть у бою, вірність регіону %crn, а також мужність і силу характеру перед обличчям негараздів.|Збереження нашої репутації непохитних, надійних захисників найвищої бойової майстерності має першочергове значення. Будь-хто, хто буде помічений у порушенні наших суворих стандартів, буде беззаперечно звільнений з лав.|Наша геральдика і наші фортеці є уособленням бретонської культури. Ми - кращі з кращих і повинні поводитися відповідно.|Ніколи не відмовляйтеся від виклику рівного собі. І ніколи не повертайтеся спиною до ворога.		Faction Guild Group	==	9|17	Region Index	==	21|19|36|41|17|5|57|18|59|60|9|37|35|33|32|38|42|58|39|23|16|40	NoLore	==	2
Щось порадите?	Якщо ви відвернетеся від Шляху Меча, ви втратите його, і шлях до досконалості зникне з-під ваших ніг.|Не думайте про те, що ви можете зробити завтра, але думайте лише про те, щоб виконати кожен прийом відповідно до його призначення. Таким чином, ви станете одним цілим зі своєю зброєю.|Перша кров має не таке велике значення, як останній подих.|Найгірша дія, виконана рішуче, перевершує найкращу дію, виконану невпевнено, зі страхом.|Меч вашого суперника - не ваш ворог. Дивіться на суперника, а не на його меч.		Faction Guild Group	==	9|17	Region Index	==	43|0|55|47|56|61|11|1|53|44|49|22|52|46|45|54|50|20|48|51	NoLore	==	2
Хто ви?	Я - @Name@, Коваль в @Building Name@.	Лицарі Дракона,Лицарі Вогню,Лицарі Сови,Лицарі Троянди,Орден Ворона,Господарі Рогу,Лицарі Яструба,Лицарі Колеса,Орден Свічки,Орден Скарабея	Faction Name	==	Smiths	NoLore	==	2			
Хто ви?	Я - @Name@, Куратор в @Building Name@.	Лицарі Дракона,Лицарі Вогню,Лицарі Сови,Лицарі Троянди,Орден Ворона,Господарі Рогу,Лицарі Яструба,Лицарі Колеса,Орден Свічки,Орден Скарабея	Faction Name	==	Questers	NoLore	==	2			
Хто ви?	Я - @Name@, Цілитель в @Building Name@.	Лицарі Дракона,Лицарі Вогню,Лицарі Сови,Лицарі Троянди,Орден Ворона,Господарі Рогу,Лицарі Яструба,Лицарі Колеса,Орден Свічки,Орден Скарабея	Faction Name	==	Healers	NoLore	==	2			
Хто ви?	Я - @Name@, Сенешаль @Building Name@.	Лицарі Дракона,Лицарі Вогню,Лицарі Сови,Лицарі Троянди,Орден Ворона,Господарі Рогу,Лицарі Яструба,Лицарі Колеса,Орден Свічки,Орден Скарабея	Faction Name	==	Seneschal	NoLore	==	2			
Хто ви?	Я - @Name@, Лицар @Building Name@.	Лицарі Дракона,Лицарі Вогню,Лицарі Сови,Лицарі Троянди,Орден Ворона,Господарі Рогу,Лицарі Яструба,Лицарі Колеса,Орден Свічки,Орден Скарабея	Faction Guild Group	==	9|17	NoLore	==	2			
Ковен Бельдама	Даедрійські Принци прислухаються до нашого виклику, але ми не викликаємо їх просто так. Це має бути зроблено цілеспрямовано.|Тут шепочуть духи, цвітуть трави і служать Принцам Даедра... якщо ви знаєте, як їх викликати.|Відьми цього ковену мають силу викликати Принців Даедра - якщо ви готові заплатити відповідну ціну.|@Location Name@ тримається осторонь від політики та законів великих міст. Ми підкоряємося лише давнім звичаям.|Ви прийшли за знаннями, чи просто поцікавитись, куди не варто лізти? Наші секрети не даються легко.|Ми - дочки ночі, зв'язані давніми узами. Це місце - наше святилище.|Гільдія Магів зберігає свої записи в сувоях, але відьми володіють сирою магією самої природи.|Нам нелегко довіряти. Століттями на нас полювали, про нас брехали і нас не розуміли.|Ви вважаєте, що вам потрібен цей ковен, але, можливо, саме цей ковен чогось хоче від вас.|Не плутайте наші ритуали з розбещеністю, яку ви бачите в містах. Наші ритуали - це найчистіша форма магії.|Тут стираються межі між Мундусом і Облівіоном. Ми вступаємо в контакт з силами, яких небезпідставно боїмося.	Принци Даедра|Принци Даедра|Принци Даедра|-|-|-|Гільдія Магів|-|-|-|-	Location Name	==	Ковен Бельдама	NoLore	==	2			
Ковен Даггерфоллу	Даедрійські Принци прислухаються до нашого виклику, але ми не викликаємо їх просто так. Це має бути зроблено цілеспрямовано.|Тут шепочуть духи, цвітуть трави і служать Принцам Даедра... якщо ви знаєте, як їх викликати.|Відьми цього ковену мають силу викликати Принців Даедра - якщо ви готові заплатити відповідну ціну.|@Location Name@ тримається осторонь від політики та законів великих міст. Ми підкоряємося лише давнім звичаям.|Ви прийшли за знаннями, чи просто поцікавитись, куди не варто лізти? Наші секрети не даються легко.|Ми - дочки ночі, зв'язані давніми узами. Це місце - наше святилище.|Гільдія Магів зберігає свої записи в сувоях, але відьми володіють сирою магією самої природи.|Нам нелегко довіряти. Століттями на нас полювали, про нас брехали і нас не розуміли.|Ви вважаєте, що вам потрібен цей ковен, але, можливо, саме цей ковен чогось хоче від вас.|Не плутайте наші ритуали з розбещеністю, яку ви бачите в містах. Наші ритуали - це найчистіша форма магії.|Тут стираються межі між Мундусом і Облівіоном. Ми вступаємо в контакт з силами, яких небезпідставно боїмося.	Принци Даедра|Принци Даедра|Принци Даедра|-|-|-|Гільдія Магів|-|-|-|-	Location Name	==	Ковен Даггерфоллу	NoLore	==	2			
Вротський Ковен	Даедрійські Принци прислухаються до нашого виклику, але ми не викликаємо їх просто так. Це має бути зроблено цілеспрямовано.|Тут шепочуть духи, цвітуть трави і служать Принцам Даедра... якщо ви знаєте, як їх викликати.|Відьми цього ковену мають силу викликати Принців Даедра - якщо ви готові заплатити відповідну ціну.|@Location Name@ тримається осторонь від політики та законів великих міст. Ми підкоряємося лише давнім звичаям.|Ви прийшли за знаннями, чи просто поцікавитись, куди не варто лізти? Наші секрети не даються легко.|Ми - дочки ночі, зв'язані давніми узами. Це місце - наше святилище.|Гільдія Магів зберігає свої записи в сувоях, але відьми володіють сирою магією самої природи.|Нам нелегко довіряти. Століттями на нас полювали, про нас брехали і нас не розуміли.|Ви вважаєте, що вам потрібен цей ковен, але, можливо, саме цей ковен чогось хоче від вас.|Не плутайте наші ритуали з розбещеністю, яку ви бачите в містах. Наші ритуали - це найчистіша форма магії.|Тут стираються межі між Мундусом і Облівіоном. Ми вступаємо в контакт з силами, яких небезпідставно боїмося.	Принци Даедра|Принци Даедра|Принци Даедра|-|-|-|Гільдія Магів|-|-|-|-	Location Name	==	Вротський Ковен	NoLore	==	2			
Ковен Піску	Даедрійські Принци прислухаються до нашого виклику, але ми не викликаємо їх просто так. Це має бути зроблено цілеспрямовано.|Тут шепочуть духи, цвітуть трави і служать Принцам Даедра... якщо ви знаєте, як їх викликати.|Відьми цього ковену мають силу викликати Принців Даедра - якщо ви готові заплатити відповідну ціну.|@Location Name@ тримається осторонь від політики та законів великих міст. Ми підкоряємося лише давнім звичаям.|Ви прийшли за знаннями, чи просто поцікавитись, куди не варто лізти? Наші секрети не даються легко.|Ми - дочки ночі, зв'язані давніми узами. Це місце - наше святилище.|Гільдія Магів зберігає свої записи в сувоях, але відьми володіють сирою магією самої природи.|Нам нелегко довіряти. Століттями на нас полювали, про нас брехали і нас не розуміли.|Ви вважаєте, що вам потрібен цей ковен, але, можливо, саме цей ковен чогось хоче від вас.|Не плутайте наші ритуали з розбещеністю, яку ви бачите в містах. Наші ритуали - це найчистіша форма магії.|Тут стираються межі між Мундусом і Облівіоном. Ми вступаємо в контакт з силами, яких небезпідставно боїмося.	Принци Даедра|Принци Даедра|Принци Даедра|-|-|-|Гільдія Магів|-|-|-|-	Location Name	==	Ковен Піску	NoLore	==	2			
Ковен Гленморіал	Даедрійські Принци прислухаються до нашого виклику, але ми не викликаємо їх просто так. Це має бути зроблено цілеспрямовано.|Тут шепочуть духи, цвітуть трави і служать Принцам Даедра... якщо ви знаєте, як їх викликати.|Відьми цього ковену мають силу викликати Принців Даедра - якщо ви готові заплатити відповідну ціну.|@Location Name@ тримається осторонь від політики та законів великих міст. Ми підкоряємося лише давнім звичаям.|Ви прийшли за знаннями, чи просто поцікавитись, куди не варто лізти? Наші секрети не даються легко.|Ми - дочки ночі, зв'язані давніми узами. Це місце - наше святилище.|Гільдія Магів зберігає свої записи в сувоях, але відьми володіють сирою магією самої природи.|Нам нелегко довіряти. Століттями на нас полювали, про нас брехали і нас не розуміли.|Ви вважаєте, що вам потрібен цей ковен, але, можливо, саме цей ковен чогось хоче від вас.|Не плутайте наші ритуали з розбещеністю, яку ви бачите в містах. Наші ритуали - це найчистіша форма магії.|Тут стираються межі між Мундусом і Облівіоном. Ми вступаємо в контакт з силами, яких небезпідставно боїмося.	Принци Даедра|Принци Даедра|Принци Даедра|-|-|-|Гільдія Магів|-|-|-|-	Location Name	==	Ковен Гленморіал	NoLore	==	2			
Гірський Ковен	Даедрійські Принци прислухаються до нашого виклику, але ми не викликаємо їх просто так. Це має бути зроблено цілеспрямовано.|Тут шепочуть духи, цвітуть трави і служать Принцам Даедра... якщо ви знаєте, як їх викликати.|Відьми цього ковену мають силу викликати Принців Даедра - якщо ви готові заплатити відповідну ціну.|@Location Name@ тримається осторонь від політики та законів великих міст. Ми підкоряємося лише давнім звичаям.|Ви прийшли за знаннями, чи просто поцікавитись, куди не варто лізти? Наші секрети не даються легко.|Ми - дочки ночі, зв'язані давніми узами. Це місце - наше святилище.|Гільдія Магів зберігає свої записи в сувоях, але відьми володіють сирою магією самої природи.|Нам нелегко довіряти. Століттями на нас полювали, про нас брехали і нас не розуміли.|Ви вважаєте, що вам потрібен цей ковен, але, можливо, саме цей ковен чогось хоче від вас.|Не плутайте наші ритуали з розбещеністю, яку ви бачите в містах. Наші ритуали - це найчистіша форма магії.|Тут стираються межі між Мундусом і Облівіоном. Ми вступаємо в контакт з силами, яких небезпідставно боїмося.	Принци Даедра|Принци Даедра|Принци Даедра|-|-|-|Гільдія Магів|-|-|-|-	Location Name	==	Гірський Ковен	NoLore	==	2			
Ковен Кікос	Даедрійські Принци прислухаються до нашого виклику, але ми не викликаємо їх просто так. Це має бути зроблено цілеспрямовано.|Тут шепочуть духи, цвітуть трави і служать Принцам Даедра... якщо ви знаєте, як їх викликати.|Відьми цього ковену мають силу викликати Принців Даедра - якщо ви готові заплатити відповідну ціну.|@Location Name@ тримається осторонь від політики та законів великих міст. Ми підкоряємося лише давнім звичаям.|Ви прийшли за знаннями, чи просто поцікавитись, куди не варто лізти? Наші секрети не даються легко.|Ми - дочки ночі, зв'язані давніми узами. Це місце - наше святилище.|Гільдія Магів зберігає свої записи в сувоях, але відьми володіють сирою магією самої природи.|Нам нелегко довіряти. Століттями на нас полювали, про нас брехали і нас не розуміли.|Ви вважаєте, що вам потрібен цей ковен, але, можливо, саме цей ковен чогось хоче від вас.|Не плутайте наші ритуали з розбещеністю, яку ви бачите в містах. Наші ритуали - це найчистіша форма магії.|Тут стираються межі між Мундусом і Облівіоном. Ми вступаємо в контакт з силами, яких небезпідставно боїмося.	Принци Даедра|Принци Даедра|Принци Даедра|-|-|-|Гільдія Магів|-|-|-|-	Location Name	==	Ковен Кікос	NoLore	==	2			
Ковен на Кручі	Даедрійські Принци прислухаються до нашого виклику, але ми не викликаємо їх просто так. Це має бути зроблено цілеспрямовано.|Тут шепочуть духи, цвітуть трави і служать Принцам Даедра... якщо ви знаєте, як їх викликати.|Відьми цього ковену мають силу викликати Принців Даедра - якщо ви готові заплатити відповідну ціну.|@Location Name@ тримається осторонь від політики та законів великих міст. Ми підкоряємося лише давнім звичаям.|Ви прийшли за знаннями, чи просто поцікавитись, куди не варто лізти? Наші секрети не даються легко.|Ми - дочки ночі, зв'язані давніми узами. Це місце - наше святилище.|Гільдія Магів зберігає свої записи в сувоях, але відьми володіють сирою магією самої природи.|Нам нелегко довіряти. Століттями на нас полювали, про нас брехали і нас не розуміли.|Ви вважаєте, що вам потрібен цей ковен, але, можливо, саме цей ковен чогось хоче від вас.|Не плутайте наші ритуали з розбещеністю, яку ви бачите в містах. Наші ритуали - це найчистіша форма магії.|Тут стираються межі між Мундусом і Облівіоном. Ми вступаємо в контакт з силами, яких небезпідставно боїмося.	Принци Даедра|Принци Даедра|Принци Даедра|-|-|-|Гільдія Магів|-|-|-|-	Location Name	==	Ковен на Кручі	NoLore	==	2			
Ковен Скеффінгтона	Даедрійські Принци прислухаються до нашого виклику, але ми не викликаємо їх просто так. Це має бути зроблено цілеспрямовано.|Тут шепочуть духи, цвітуть трави і служать Принцам Даедра... якщо ви знаєте, як їх викликати.|Відьми цього ковену мають силу викликати Принців Даедра - якщо ви готові заплатити відповідну ціну.|@Location Name@ тримається осторонь від політики та законів великих міст. Ми підкоряємося лише давнім звичаям.|Ви прийшли за знаннями, чи просто поцікавитись, куди не варто лізти? Наші секрети не даються легко.|Ми - дочки ночі, зв'язані давніми узами. Це місце - наше святилище.|Гільдія Магів зберігає свої записи в сувоях, але відьми володіють сирою магією самої природи.|Нам нелегко довіряти. Століттями на нас полювали, про нас брехали і нас не розуміли.|Ви вважаєте, що вам потрібен цей ковен, але, можливо, саме цей ковен чогось хоче від вас.|Не плутайте наші ритуали з розбещеністю, яку ви бачите в містах. Наші ритуали - це найчистіша форма магії.|Тут стираються межі між Мундусом і Облівіоном. Ми вступаємо в контакт з силами, яких небезпідставно боїмося.	Принци Даедра|Принци Даедра|Принци Даедра|-|-|-|Гільдія Магів|-|-|-|-	Location Name	==	Ковен Скеффінгтона	NoLore	==	2			
Ковен Тамарилін	Даедрійські Принци прислухаються до нашого виклику, але ми не викликаємо їх просто так. Це має бути зроблено цілеспрямовано.|Тут шепочуть духи, цвітуть трави і служать Принцам Даедра... якщо ви знаєте, як їх викликати.|Відьми цього ковену мають силу викликати Принців Даедра - якщо ви готові заплатити відповідну ціну.|@Location Name@ тримається осторонь від політики та законів великих міст. Ми підкоряємося лише давнім звичаям.|Ви прийшли за знаннями, чи просто поцікавитись, куди не варто лізти? Наші секрети не даються легко.|Ми - дочки ночі, зв'язані давніми узами. Це місце - наше святилище.|Гільдія Магів зберігає свої записи в сувоях, але відьми володіють сирою магією самої природи.|Нам нелегко довіряти. Століттями на нас полювали, про нас брехали і нас не розуміли.|Ви вважаєте, що вам потрібен цей ковен, але, можливо, саме цей ковен чогось хоче від вас.|Не плутайте наші ритуали з розбещеністю, яку ви бачите в містах. Наші ритуали - це найчистіша форма магії.|Тут стираються межі між Мундусом і Облівіоном. Ми вступаємо в контакт з силами, яких небезпідставно боїмося.	Принци Даедра|Принци Даедра|Принци Даедра|-|-|-|Гільдія Магів|-|-|-|-	Location Name	==	Ковен Тамарилін	NoLore	==	2			
